ItemId,item_idx
81766,0
31331,1
32118,2
9654,3
32627,4
33043,5
12352,6
35077,7
36118,8
129055,9
3147,10
32754,11
100747,12
32971,13
10657,14
35606,15
36246,16
196110,17
13931,18
5140,19
35472,20
73191,21
382683,22
59248,23
9416,24
40639,25
73816,26
32742,27
79626,28
388131,29
11542,30
69597,31
5103,32
4168,33
79898,34
3680,35
34797,36
14784,37
36156,38
135099,39
151445,40
29592,41
19726,42
58223,43
51353,44
240186,45
51913,46
254864,47
353726,48
35142,49
38873,50
31579,51
44491,52
11732,53
23840,54
14914,55
117403,56
105612,57
123272,58
108888,59
9029,60
3633,61
126437,62
6542,63
375733,64
126498,65
128913,66
69210,67
400741,68
169562,69
381355,70
208971,71
66200,72
14895,73
1013,74
121104,75
46610,76
12787,77
24619,78
13061,79
171222,80
126308,81
164504,82
25583,83
2042,84
3719,85
11338,86
387,87
35311,88
79130,89
32142,90
63532,91
28249,92
35378,93
35418,94
5450,95
6267,96
75611,97
59968,98
84043,99
172323,100
117825,101
75155,102
86471,103
4145,104
66165,105
4735,106
130777,107
201689,108
8549,109
62898,110
28580,111
2062,112
82984,113
80334,114
42,115
4185,116
55594,117
6308,118
14280,119
3433,120
36956,121
73655,122
6078,123
66956,124
90812,125
6306,126
10741,127
24764,128
6096,129
54759,130
208138,131
20138,132
381701,133
377512,134
375980,135
376089,136
376526,137
378922,138
378729,139
381813,140
44384,141
30893,142
1407,143
2391,144
4016,145
5691,146
22128,147
380235,148
14763,149
380340,150
378944,151
81575,152
2809,153
49360,154
216104,155
69390,156
32005,157
10589,158
15507,159
38707,160
8379,161
66764,162
66765,163
68301,164
24578,165
90377,166
368353,167
280626,168
251609,169
14614,170
4151,171
55269,172
34142,173
35818,174
7747,175
38073,176
1296,177
16116,178
145697,179
22099,180
63076,181
154670,182
3563,183
170561,184
84116,185
14912,186
40921,187
32902,188
148626,189
90683,190
30058,191
30294,192
8732,193
9582,194
2745,195
35640,196
131319,197
8734,198
8735,199
16074,200
294153,201
74731,202
11297,203
43824,204
45236,205
18566,206
45355,207
88452,208
135792,209
130835,210
125919,211
125920,212
10858,213
54281,214
15391,215
23094,216
383298,217
2442,218
44612,219
90702,220
31500,221
21864,222
36700,223
11524,224
82691,225
39471,226
127098,227
11419,228
44394,229
34093,230
87471,231
132807,232
132879,233
106324,234
19942,235
14234,236
126406,237
36621,238
14600,239
3122,240
11119,241
92881,242
4787,243
80098,244
169690,245
25460,246
48094,247
37725,248
30398,249
8250,250
31055,251
9093,252
98851,253
19342,254
126122,255
33034,256
35495,257
14677,258
34300,259
32342,260
124947,261
84517,262
17050,263
23288,264
66682,265
128859,266
25781,267
25007,268
34559,269
352,270
10691,271
33404,272
2818,273
157362,274
164206,275
58140,276
14170,277
14312,278
62040,279
10458,280
170416,281
43654,282
45002,283
36055,284
107210,285
90603,286
107546,287
164713,288
58998,289
134,290
20698,291
70219,292
159361,293
7884,294
144613,295
168282,296
109704,297
166617,298
71338,299
1180,300
163155,301
1671,302
153734,303
51535,304
127397,305
52123,306
9934,307
130105,308
4479,309
106176,310
78103,311
46437,312
29091,313
135896,314
6185,315
171294,316
171307,317
6291,318
167987,319
14116,320
164412,321
14310,322
126446,323
36708,324
171611,325
171648,326
25886,327
86161,328
682,329
10299,330
11989,331
75104,332
33914,333
34952,334
12233,335
48286,336
30378,337
30455,338
33256,339
6365,340
36717,341
81021,342
144629,343
8993,344
136201,345
35099,346
47412,347
34053,348
18860,349
67779,350
57076,351
46225,352
407250,353
46293,354
46509,355
130768,356
24522,357
46644,358
57590,359
90105,360
47114,361
68899,362
131216,363
7446,364
7447,365
136612,366
180836,367
50344,368
66114,369
5560,370
83537,371
7068,372
62079,373
130874,374
82292,375
62762,376
8917,377
52895,378
62123,379
58277,380
12030,381
56006,382
4869,383
175818,384
90675,385
83484,386
32138,387
63620,388
11855,389
11945,390
3676,391
12841,392
79141,393
79178,394
46805,395
6964,396
89925,397
68520,398
4124,399
66675,400
79218,401
83655,402
132732,403
11719,404
4454,405
58749,406
192,407
80661,408
30312,409
48772,410
26432,411
30859,412
49340,413
111071,414
113231,415
9306,416
62763,417
